date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:22	9493/9493	---M-Z	200	added ('OK')	text/html	etag:W/%2266ca8467-2515%22	https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html	(from )
11:55:23	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://authenticatedocs2.github.io/robots.txt		(from )
11:55:23	152993/152993	---M-Z	200	added ('OK')	text/css	etag:W/%2266ca8467-255a1%22	https://authenticatedocs2.github.io/niueship.com/registry/lib/bootstrap/dist/css/bootstrap.css	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/lib/bootstrap/dist/css/bootstrap.css	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:23	61279/61279	---M-Z	200	added ('OK')	text/css	etag:W/%2266ca8467-ef5f%22	https://authenticatedocs2.github.io/niueship.com/registry/css/site6da2.css?v=2.2	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/css/site6da26da2.css	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:24	6690/6690	---M--	200	added ('OK')	image/gif	etag:%2266ca8467-1a22%22	https://authenticatedocs2.github.io/niueship.com/registry/images/loader/ajax-loader.gif	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/images/loader/ajax-loader.gif	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:24	6951/6951	---M-Z	200	added ('OK')	text/css	etag:W/%2266ca8467-1b27%22	https://authenticatedocs2.github.io/niueship.com/registry/css/magnific-popup.css	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/css/magnific-popup.css	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:24	61279/61279	---M-Z	200	added ('OK')	text/css	etag:W/%2266ca8467-ef5f%22	https://authenticatedocs2.github.io/niueship.com/registry/css/site.css	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/css/site.css	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:25	7255/7255	---M--	200	added ('OK')	image/png	etag:%2266ca8467-1c57%22	https://authenticatedocs2.github.io/niueship.com/registry/images/warning.png	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/images/warning.png	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:25	72084/72084	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ca8467-11994%22	https://authenticatedocs2.github.io/niueship.com/registry/lib/bootstrap/dist/js/bootstrap.js	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/lib/bootstrap/dist/js/bootstrap.js	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:25	539427/539427	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ca8467-83b23%22	https://authenticatedocs2.github.io/niueship.com/registry/lib/jquery/jquery-ui-1.12.1.custom/jquery-ui-1.12.1.custom/jquery-ui.js	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/lib/jquery/jquery-ui-1.12.1.custom/jquery-ui-1.12.1.custom/jquery-ui.js	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:26	84253/84253	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ca8467-1491d%22	https://authenticatedocs2.github.io/niueship.com/registry/lib/jquery/jquery-2.1.1.min.js	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/lib/jquery/jquery-2.1.1.min.js	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:26	43589/43589	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ca8467-aa45%22	https://authenticatedocs2.github.io/niueship.com/registry/js/jquery.magnific-popup.js	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/js/jquery.magnific-popup.js	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:26	9178/9178	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ca8467-23da%22	https://authenticatedocs2.github.io/niueship.com/registry/js/site.js	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/js/site.js	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:27	21093/21093	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ca8467-5265%22	https://authenticatedocs2.github.io/niueship.com/registry/lib/jquery-validation/dist/jquery.validate.min.js	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/lib/jquery-validation/dist/jquery.validate.min.js	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:27	5411/5411	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266ca8467-1523%22	https://authenticatedocs2.github.io/niueship.com/registry/lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js	(from https://authenticatedocs2.github.io/niueship.com/registry/services/authenticate28f1.html)
11:55:27	8942/8942	---M--	200	added ('OK')	image/gif	etag:%2266ca8467-22ee%22	https://authenticatedocs2.github.io/niueship.com/registry/gif/loading.gif	C:/randyss/authenticatedocs2.github.io/niueship.com/registry/gif/loading.gif	(from https://authenticatedocs2.github.io/niueship.com/registry/css/site6da2.css?v=2.2)
